log(wage),educ,exper,tenure,female
1.131402081,11,2,0,1
1.175573333,12,22,2,1
1.098612289,11,2,0,0
1.791759469,8,44,28,0
1.667706857,12,7,2,0
2.1690537,16,9,8,0
2.420368129,18,15,7,0
1.609437912,12,5,3,1
1.280933819,12,26,4,1
2.900322106,17,22,21,0
1.832581464,16,8,2,1
2.095560938,13,3,0,1
2.171336859,12,15,0,0
1.704748092,12,18,3,0
3.100092323,12,31,15,0
2.852439099,16,14,0,0
2.014903021,12,10,0,1
2.363680203,13,16,10,1
1.280933819,12,13,0,1
1.504077397,12,36,6,1
1.928618669,12,11,4,1
2.137710396,12,29,13,0
1.845300224,16,9,9,1
-0.634878326,12,3,1,1
1.791759469,11,37,8,1
2.257587771,16,3,3,0
2.051556365,16,11,10,0
2.525728644,16,31,0,0
2.525728644,15,30,0,0
1.178654996,8,9,1,1
2.564949357,14,23,5,0
1.504077397,14,2,5,1
2.270061933,13,16,16,1
1.609437912,12,7,3,1
1.543298073,12,3,0,1
1.451613823,16,22,4,1
1.816452097,12,15,6,1
1.255616035,4,39,15,0
1.098612289,14,3,3,1
1.832581464,12,11,0,1
2.055404957,12,3,0,1
2.302585093,12,20,5,1
1.504077397,14,16,0,1
1.386294361,11,45,12,1
1.853168115,13,11,4,1
2.617395819,15,20,13,0
0.512823601,10,1,0,0
1.075002446,12,36,2,1
1.294727194,14,9,2,0
1.06471077,12,15,1,1
0.488580012,12,18,0,1
2.151762248,16,3,2,1
1.609437912,12,15,5,0
1.791759469,12,7,7,0
0.916290732,12,2,0,0
1.178654996,15,3,0,0
1.22377546,16,1,1,1
2.302585093,8,13,0,0
3.074081201,18,8,8,1
1.477048751,16,7,0,0
2.460443181,13,40,20,1
2.516889723,14,42,5,0
1.832581464,10,36,8,0
1.311031887,10,13,0,1
2.051556365,14,9,3,0
2.99473175,14,26,23,0
1.832581464,16,7,4,1
2.302585093,12,25,3,0
1.74221903,16,10,5,0
0.693147181,12,3,2,1
1.74221903,16,3,0,1
2.57108434,17,17,2,0
1.591273911,12,17,8,0
1.068153111,12,20,34,1
1.32175584,12,7,0,1
2.476538368,13,24,19,0
1.386294361,12,28,0,1
1.131402081,12,2,1,1
2.134166419,12,19,13,0
1.965712758,18,13,0,0
1.504077397,9,22,5,0
1.53686724,16,3,1,0
1.06471077,10,4,0,1
1.897619871,12,7,5,0
1.252762968,12,6,2,1
1.181727192,12,13,3,1
1.178654996,12,14,0,1
2.079441542,12,14,4,1
2.287471494,8,40,24,0
2.014903021,12,11,7,0
1.776645806,12,14,6,0
2.464703962,14,40,39,0
1.098612289,12,1,0,1
1.570697072,12,2,0,1
1.871802177,12,4,1,1
1.386294361,9,19,1,1
1.252762968,13,1,0,0
2.577181914,12,34,22,0
1.446918983,14,5,2,0
1.252762968,12,3,0,0
1.635105681,15,6,6,1
1.32175584,12,14,0,1
1.504077397,12,35,12,1
2.03208786,12,8,4,1
2.708050201,14,7,7,0
1.924248638,15,11,3,1
2.590017128,12,14,11,0
1.897619871,12,35,10,0
0.928219291,12,46,0,1
2.282382405,17,7,0,0
1.21491271,11,45,12,0
3.218075486,18,29,25,0
1.686398971,12,6,3,0
1.809926795,14,15,0,0
1.43508448,14,33,16,1
1.32175584,10,15,0,0
1.252762968,14,5,0,1
1.29198371,12,7,2,0
1.335001054,15,6,1,0
1.098612289,8,33,12,1
1.609437912,16,2,1,1
1.532556893,14,4,0,1
1.098612289,15,1,0,0
1.163150825,12,29,0,1
1.363537396,18,17,3,0
1.860974512,16,17,3,1
1.701105104,10,36,3,1
0.405465108,8,31,30,0
1.06471077,10,23,2,1
1.609437912,11,13,1,0
2.188295955,18,3,3,0
1.609437912,15,15,0,0
1.258460984,12,48,1,0
1.06471077,11,6,0,1
1.504077397,12,12,0,0
0.810930216,12,5,0,1
1.609437912,14,19,5,0
2.302585093,16,9,3,0
1.32175584,2,39,13,0
2.302585093,14,28,11,1
2.393339439,16,23,20,0
2.066862772,12,2,0,0
1.551808755,12,15,1,1
1.764730823,13,5,0,1
1.342864783,12,18,2,1
1.163150825,15,2,2,1
0.693147181,10,3,0,1
